key,number_of_units,electricity_output_capacity (MW),heat_output_capacity (MW),full_load_hours,total_initial_investment_per_plant (Euros),fixed_operation_and_maintenance_costs_per_year (Euros),variable_operation_and_maintenance_costs_per_full_load_hour (Euros),wacc (factor),technical_lifetime (years),total_investment_over_lifetime_per_node (Euros)
industry_chemicals_fertilizers_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,0.0
industry_chemicals_fertilizers_burner_network_gas,25.799086757990885,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,154794520.54794532
industry_chemicals_fertilizers_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,100000.0,0.0,0.04,15.0,0.0
industry_chemicals_fertilizers_flexibility_p2h_hydrogen_electricity,0,0.0,50.0,0.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
industry_chemicals_fertilizers_flexibility_p2h_network_gas_electricity,0,0.0,50.0,0.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
industry_chemicals_other_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,100000.0,0.0,0.04,15.0,0.0
industry_chemicals_other_burner_crude_oil,112.07126686247196,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,672427601.1748317
industry_chemicals_other_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,0.0
industry_chemicals_other_burner_network_gas,60.01601334081253,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,360096080.04487514
industry_chemicals_other_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,100000.0,0.0,0.04,15.0,0.0
industry_chemicals_other_flexibility_p2h_hydrogen_electricity,0,0.0,50.0,0.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
industry_chemicals_other_flexibility_p2h_network_gas_electricity,0,0.0,50.0,0.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
industry_chemicals_other_heater_electricity,0.0,0.0,50.0,2190.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
industry_chemicals_other_heatpump_water_water_electricity,0.0,0.0,5.0,7000.0,1250000.0,27500.0,0.0,0.04,15.0,0.0
industry_chemicals_other_steam_recompression_electricity,0.0,0.0,43.1,8000.0,5698000.0,228800.0,0.0,0.04,15.0,0.0
industry_chemicals_refineries_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,100000.0,0.0,0.04,15.0,0.0
industry_chemicals_refineries_burner_crude_oil,105.43355782978198,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,632601346.9786918
industry_chemicals_refineries_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,0.0
industry_chemicals_refineries_burner_network_gas,45.66403199771709,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.04,15.0,273984191.98630255
industry_chemicals_refineries_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,100000.0,0.0,0.04,15.0,0.0
industry_chemicals_refineries_flexibility_p2h_hydrogen_electricity,0,0.0,50.0,0.0,3000000.0,50000.0,25.0,0.04,15.0,0.0
